,title,most_similar_1,most_similar_2,most_similar_3,most_similar_4,most_similar_5,most_similar_6,most_similar_7,most_similar_8,most_similar_9,most_similar_10
0,How 2 of the world's most powerful and dangerous drug lords compare,Finding Success Empowering Lifestyle Entrepreneurs (1.01),10 things you need to know in markets today (1.00),FCC Decision on Net Neutrality Coming Soon (1.00),Here come retail sales ... (1.00),The Daily Sprout (1.00),Cardamom futures remain up on rising demand (1.00),"Up close & personal: How Sunny Leone handles stocks, land, gold, other assets (1.00)",Here come personal income and spending ... (1.00),Earnings This Week (1.00),Here comes the Baker Hughes rig count ... (1.00)
1,"Fortune 500 Thrives, But Small Businesses Not So Optimistic",Is It Time to Change Your Business Structure? (1.00),Protecting Small Business Intellectual Property (1.00),Peer-to-Peer Lending Club Fine-Tunes Small Business Loan Program (1.00),Getting Your Business Energy Efficient Before the Holidays (1.00),Reward your Small Business with the Capital One Spark (1.00),Remote Work No Longer a Perk But a Business Imperative (1.00),Study Finds Small Business Loans Key to Startup Success (1.00),"Small Businesses Spend More on Travel, Per Concur Survey (1.00)",Cyber Liability Insurance: Protect Your Business Online (1.00),Why Small Businesses Have Trouble Getting Credit (1.00)
2,Google Acquisition of Motorola Finally Closes: Why You Should Care,"Bright Light Helps Market Products, But Makes Decisions More Emotional (1.01)",Enterprise Cloud Services Retooled as Google for Work (1.01),Customer Relations Blunder? Google Causes Stir Over Easter Doodle (1.01),Headlining the News This Week: Wix Acquires OpenRest (1.01),WixMusic Lets Musicians Set the Tempo for Their Brand (1.01),Local and Ecommerce Merchants Pick Up On Facekini Trend (1.01),"Jupitermedia: Media Analyst, NYC (1.00)",This New Online Tool Creates a Picture of Your Cash Flow (1.00),Video Ad Service TubeMogul Hopes to Raise $93.4 Million with IPO (1.00),The Project Champion: A Management Best Practice (1.00)
3,Finding Money for That Franchise When Money is Tight,Do You Trust Your Employees to Work Remotely? (1.01),How to Get a Startup Visa Act Passed (1.00),Angel Investments Since the Economic Downturn (1.00),Plastic Preferred: Cash To Decline to Just 23% of Purchases (1.00),Pricing pressure in US biz cyclical in nature: Cadila Health (1.00),Franchising In The Downturn And Recovery (1.00),Here's the salary you have to earn to buy a home in 19 major US cities (1.00),Newly Sworn SBA Chief Must Deal With Lending Defaults (1.00),Senate Passes Internet Sales Tax; Bill Moves to House (0.99),You thought Vijay Mallya is the largest defaulter who owes banks money? Wait till you read this (0.99)
4,94 Percent of People Think Buying From Small Businesses is Important,5 Tips for Buying a Franchise (1.00),Protecting Small Business Intellectual Property (1.00),Peer-to-Peer Lending Club Fine-Tunes Small Business Loan Program (1.00),Ohio Weighing Major Tax Break For Small Businesses (1.00),Getting Your Business Energy Efficient Before the Holidays (1.00),How to Turn Your Home Brewing Hobby into a Business (1.00),Remote Work No Longer a Perk But a Business Imperative (1.00),Study Finds Small Business Loans Key to Startup Success (1.00),Woman Makes Business Out of Giant Cookies After Losing Job of 30 Years (1.00),"Small Businesses Spend More on Travel, Per Concur Survey (1.00)"
5,"Bright Light Helps Market Products, But Makes Decisions More Emotional",Google Acquisition of Motorola Finally Closes: Why You Should Care (1.01),Customer Relations Blunder? Google Causes Stir Over Easter Doodle (1.01),Headlining the News This Week: Wix Acquires OpenRest (1.01),"Jupitermedia: Media Analyst, NYC (1.00)",Enterprise Cloud Services Retooled as Google for Work (1.00),Video Ad Service TubeMogul Hopes to Raise $93.4 Million with IPO (1.00),Google+ Lifts Real Names Only Policy (1.00),27 Percent of Mobile Sites Are Misconfigured Leading to Lower Traffic (1.00),Charitable Startup Finds New Use for Old Cardboard Boxes (1.00),"Google Updates Listings, Crowdfunding Campaigns Extended (1.00)"
6,25 Tips for Using Instagram in Your Business,How to Market Your Business on Twitter Like a Pro (1.00),Are You Being Too Nice for Your Own Good? (1.00),Business Book Review: iPhone And iPad App Marketing (1.00),10 Ways to Use Hashtags for Your Business (1.00),Invisible Capital Reveals The Resources That Builds Success (1.00),Lumiary Lights the Way for Marketing Your Online Business (1.00),5 Ways Business Intelligence and Online Marketing Can Work Together (1.00),Pinterest Beta Tests Do-It-Yourself Promoted Pins for Business (1.00),Pinteresting Image Optimization Tips When Using Pinterest for Business (1.00),Facebook Wants Your Businesses On Messenger (0.99)
7,"Intuit Will Acquire Check App, Deal is Worth $360 Million",Want to build a billion dollar organisation without VC money? Learn from Sridhar Vembu (1.01),How an MBA grad became a marketplace millionaire by selling umbrellas (1.01),"India orders four maritime spy planes from Boeing, bolsters navy (1.00)",HP Reinventing Traditional Computers With Mini Desktop PC (1.00),Victoria's Secret supermodel reveals everything she eats in a day (1.00),How an English teacher conquered China : Wisdom of Jack Ma condensed into 33 quotes (1.00),Juice Your Apple Devices with this Fun Juice Box Charger (1.00),With great stardom comes great stress  learn how to de-stress from your favourite celebrities and leaders (1.00),The 5 best new songs you can stream right now (1.00),"Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way (1.00)"
8,3 Ways to Look at Marketing,Managing Different Generations in the Workplace (1.01),10 phrases in your emails that make you sound unprofessional (1.00),Better Online Marketing Optimization Through Google Analytics: A Book Review (1.00),Metrics Overload? How to Streamline Marketing Data (1.00),Raghu Raghavan of Act-On: Now is the Time to Dive Into Marketing Automation (1.00),4 Real Reasons to Care About Google Place Pages (1.00),Social Customers Means a Social Inbox: Review of Nimble CRM (1.00),20 Reasons People Unfollow You On Twitter (1.00),How to Leverage Infographics for B2B Marketing (1.00),How Does Social Media Aid Lead Generation? (1.00)
9,Successful S-Corp Owners: Watch Out For A Tax Increase,IRS Adopts Taxpayer Bill of Rights (1.01),Evernote Coming Out With New App Just for Businesses (1.00),Internet Sales Tax Bill May Stall in House of Representatives (1.00),Reaching the Cloud: Dedicated Ethernet vs Public Internet Connections (1.00),Understanding Health Insurance Marketplaces: Fast Facts (1.00),No More Tipping at This Pittsburgh Restaurant (1.00),10 Things You Need To Do After Forming An LLC (0.99),"South Dakota, Texas Top List of Best State Tax Systems (0.99)",25 of the Best Cities for Freelancers to Work and Play (0.99),How Do You Feel About Raising the Minimum Wage? (0.99)
10,10 phrases in your emails that make you sound unprofessional,3 Ways to Look at Marketing (1.00),Better Online Marketing Optimization Through Google Analytics: A Book Review (1.00),Metrics Overload? How to Streamline Marketing Data (1.00),4 Real Reasons to Care About Google Place Pages (1.00),Social Customers Means a Social Inbox: Review of Nimble CRM (1.00),How to Leverage Infographics for B2B Marketing (1.00),Getting Comfortable With Self-Promotion (1.00),4 Ways to Market Your SMB With Flickr (1.00),The 5 Types of Influencers On The Web (1.00),10 Assets for Using Tech to Keep Your Team on Track (1.00)
11,Mid-Year Business Review: Risk Management Edition,Best Small Business Books (1.00),Quantify Lets You Shop For Your Next Business Consultant Online (1.00),The Small Business Guide to Getting Ready for Vacation (1.00),The Commitment Engine Inspires Small Business Growth (1.00),Small Business News: Small Biz Startup Tips (1.00),10 Tips For Organizing Your Small Business This Year (1.00),25 Top YouTube Channels for Small Business Owners and Entrepreneurs (1.00),WordStream Improves Its Free AdWords Benchmark Tool For Small Business Advertisers (1.00),Tom Byun of Yahoo! Small Business: Making That Next Sale (1.00),Small Business Guide to Cloud Computing (1.00)
12,European shares lifted by solid earnings but RBS slumps,STOCKS RALLY: Here's what you need to know (1.00),How millions from the Bangladesh Bank heist disappeared (1.00),The Daily Sprout (1.00),The 10 most important things in the world right now (1.00),Daily Sprout (1.00),"The curious story of Dadi Balsara, the Parsi billionaire who stayed
at Taj Mansingh Hotel for 36 years (1.00)",Rupee down against dollar (1.00),10 things you need to know before the opening bell (1.00),Plastic Preferred: Cash To Decline to Just 23% of Purchases (1.00),What you need to know on Wall Street right now (1.00)
13,How to Get Your Products Discovered with Videos,Franchising: The Importance Of Great Systems Within The System (1.03),Google Improves AdWords Express Program (1.01),Infusionsoft Gmail Integration is Now Available (1.01),"Court Reverses $338,000 Award for User Generated Content (1.00)","Brands Doing More Content Marketing with Less Return, TrackMaven Says (1.00)",Vine: Now You Can Send Video Messages Directly to Friends and Colleagues (1.00),"Culture, Career Development and Networking Blend in Black Faces In White Places (1.00)",Google AdWords Conversion Import Tracks Offline Sales (1.00),Social Media Customer Care Company Raises $1 Million for Growth (1.00),Spotlight: Manage A Gazillion Marketing Platforms with Holonis (1.00)
14,"Court Reverses $338,000 Award for User Generated Content",How To Integrate Your Remote Office Effectively (1.01),Google Improves AdWords Express Program (1.01),Franchising: The Importance Of Great Systems Within The System (1.01),How to Get Your Products Discovered with Videos (1.00),Vine: Now You Can Send Video Messages Directly to Friends and Colleagues (1.00),"Culture, Career Development and Networking Blend in Black Faces In White Places (1.00)",Google AdWords Conversion Import Tracks Offline Sales (1.00),Getting Your Invention To Market (1.00),Social Media Customer Care Company Raises $1 Million for Growth (1.00),Pinterest Contemplates Sponsored Pins (1.00)
